[2023-12-10 13:49:43,098][INFO][basehttp][basehttp.py:124]["POST /register/ HTTP/1.1" 200 38]
[2023-12-10 13:50:04,218][INFO][basehttp][basehttp.py:124]["OPTIONS /login/ HTTP/1.1" 200 0]
[2023-12-10 13:50:04,256][INFO][basehttp][basehttp.py:124]["POST /login/ HTTP/1.1" 200 261]
[2023-12-10 13:50:04,331][INFO][basehttp][basehttp.py:124]["GET /home/ HTTP/1.1" 200 2]
[2023-12-10 13:50:04,357][INFO][basehttp][basehttp.py:124]["GET /home/ HTTP/1.1" 200 2]
[2023-12-10 13:50:04,379][INFO][basehttp][basehttp.py:124]["GET /set_avatar/%E6%B5%B7%E7%BB%B5%E5%AE%9D%E5%AE%9D/ HTTP/1.1" 200 54]
[2023-12-10 13:50:04,390][INFO][basehttp][basehttp.py:124]["GET /media/avatar/w1.jpg HTTP/1.1" 200 39304]
[2023-12-10 13:50:09,800][INFO][basehttp][basehttp.py:124]["GET /home/ HTTP/1.1" 200 2]
[2023-12-10 13:50:09,837][INFO][basehttp][basehttp.py:124]["GET /home/ HTTP/1.1" 200 2]
[2023-12-10 13:50:36,078][INFO][basehttp][basehttp.py:124]["POST /register/ HTTP/1.1" 200 38]
[2023-12-10 13:52:55,431][WARNING][base][base.py:152][Not Found: /]
[2023-12-10 13:52:55,431][WARNING][basehttp][basehttp.py:124]["GET / HTTP/1.1" 404 3812]
[2023-12-10 13:52:55,719][WARNING][base][base.py:152][Not Found: /favicon.ico]
[2023-12-10 13:52:55,719][WARNING][basehttp][basehttp.py:124]["GET /favicon.ico HTTP/1.1" 404 3863]
[2023-12-10 13:53:01,922][INFO][basehttp][basehttp.py:124]["GET /admin HTTP/1.1" 301 0]
[2023-12-10 13:53:01,991][INFO][basehttp][basehttp.py:124]["GET /admin/ HTTP/1.1" 302 0]
[2023-12-10 13:53:05,632][INFO][basehttp][basehttp.py:124]["GET /admin/login/?next=/admin/ HTTP/1.1" 200 1652]
[2023-12-10 13:53:05,675][INFO][basehttp][basehttp.py:124]["GET /static/admin/css/base.css HTTP/1.1" 200 16066]
[2023-12-10 13:53:05,676][INFO][basehttp][basehttp.py:124]["GET /static/admin/css/login.css HTTP/1.1" 200 1203]
[2023-12-10 13:53:05,697][INFO][basehttp][basehttp.py:124]["GET /static/admin/css/fonts.css HTTP/1.1" 200 423]
[2023-12-10 13:53:05,758][INFO][basehttp][basehttp.py:124]["GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304]
[2023-12-10 13:53:05,770][INFO][basehttp][basehttp.py:124]["GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348]
[2023-12-10 13:53:18,459][INFO][basehttp][basehttp.py:124]["POST /admin/login/?next=/admin/ HTTP/1.1" 302 0]
[2023-12-10 13:53:18,546][INFO][basehttp][basehttp.py:124]["GET /admin/ HTTP/1.1" 200 5718]
[2023-12-10 13:53:18,564][INFO][basehttp][basehttp.py:124]["GET /static/admin/css/dashboard.css HTTP/1.1" 200 412]
[2023-12-10 13:53:18,590][INFO][basehttp][basehttp.py:124]["GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331]
[2023-12-10 13:53:18,609][INFO][basehttp][basehttp.py:124]["GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380]
[2023-12-10 13:53:18,642][INFO][basehttp][basehttp.py:124]["GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564]
[2023-12-10 13:53:21,541][INFO][basehttp][basehttp.py:124]["GET /admin/w/article/ HTTP/1.1" 200 3040]
[2023-12-10 13:53:21,577][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/jquery.init.js HTTP/1.1" 200 363]
[2023-12-10 13:53:21,580][INFO][basehttp][basehttp.py:124]["GET /static/admin/css/changelists.css HTTP/1.1" 200 6170]
[2023-12-10 13:53:21,586][INFO][basehttp][basehttp.py:124]["GET /admin/jsi18n/ HTTP/1.1" 200 7682]
[2023-12-10 13:53:21,606][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/urlify.js HTTP/1.1" 200 8186]
[2023-12-10 13:53:21,609][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/core.js HTTP/1.1" 200 7976]
[2023-12-10 13:53:21,624][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1538]
[2023-12-10 13:53:21,642][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 128820]
[2023-12-10 13:53:21,642][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 6591]
[2023-12-10 13:53:21,663][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/actions.js HTTP/1.1" 200 6501]
[2023-12-10 13:53:21,708][INFO][basehttp][basehttp.py:124]["GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 258648]
[2023-12-10 13:53:21,737][INFO][basehttp][basehttp.py:124]["GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331]
[2023-12-10 13:53:24,533][INFO][basehttp][basehttp.py:124]["GET /admin/w/article/add/ HTTP/1.1" 200 9043]
[2023-12-10 13:53:24,553][INFO][basehttp][basehttp.py:124]["GET /admin/jsi18n/ HTTP/1.1" 200 7682]
